algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,214.866703,214.866378,0.013147,0.927755,0.013147
Kyber512,214.123295,214.123047,0.013800,0.947183,0.013800
Kyber512,214.321889,214.321597,0.017375,1.034044,0.017375
Kyber512,214.344009,214.343741,0.016343,1.115748,0.016343
Kyber512,214.066260,214.065956,0.023480,0.945137,0.023480
Kyber512,214.127588,214.127368,0.025140,1.016903,0.025140
Kyber512,213.924801,213.924479,0.018931,0.909458,0.018931
Kyber512,215.127507,215.127276,0.021763,0.959158,0.021763
Kyber512,215.065397,215.065122,0.016198,1.227192,0.016198
Kyber512,215.175076,215.174751,0.019126,1.075884,0.019126
Kyber512,214.918097,214.917790,0.024998,0.939297,0.024998
Kyber512,214.945373,214.945053,0.018420,0.970416,0.018420
Kyber512,214.388740,214.388426,0.017107,0.962677,0.017107
Kyber512,214.979611,214.979283,0.017347,0.953204,0.017347
Kyber512,214.566241,214.565941,0.024672,1.003447,0.024672
Kyber512,213.888498,213.888178,0.016018,0.956390,0.016018
Kyber512,214.618560,214.618048,0.016379,0.985266,0.016379
Kyber512,215.218884,215.218583,0.022126,1.120006,0.022126
Kyber512,214.680480,214.680254,0.017970,1.003548,0.017970
Kyber512,214.035662,214.035352,0.026613,0.988930,0.026613
Kyber512,214.434711,214.434378,0.012654,0.967657,0.012654
Kyber512,215.907441,215.907109,0.020054,1.483012,0.020054
Kyber512,214.003552,214.003339,0.016063,1.065528,0.016063
Kyber512,214.557617,214.557369,0.017988,0.908320,0.017988
Kyber512,214.291280,214.291048,0.013662,0.895984,0.013662
Kyber512,214.904426,214.904125,0.017195,0.977394,0.017195
Kyber512,214.958591,214.958342,0.015671,0.964214,0.015671
Kyber512,213.912362,213.912095,0.014277,0.953484,0.014277
Kyber512,214.303675,214.303457,0.017890,0.905896,0.017890
Kyber512,214.504878,214.504607,0.032650,0.950101,0.032650
Kyber512,213.582994,213.582657,0.013005,0.906407,0.013005
Kyber512,214.476436,214.476132,0.016680,0.877506,0.016680
Kyber512,214.204592,214.204374,0.024254,0.967221,0.024254
Kyber512,214.514983,214.514726,0.018499,1.140444,0.018499
Kyber512,214.479306,214.479080,0.030517,0.905417,0.030517
Kyber512,214.386713,214.386486,0.016217,0.958741,0.016217
Kyber512,214.572516,214.572288,0.015533,0.887111,0.015533
Kyber512,214.131295,214.131069,0.020012,0.901881,0.020012
Kyber512,214.558146,214.557907,0.017397,0.918495,0.017397
Kyber512,214.496769,214.496529,0.018257,0.891435,0.018257
Kyber512,214.218400,214.218111,0.017135,0.879680,0.017135
Kyber512,214.261643,214.261382,0.015723,0.917934,0.015723
Kyber512,214.051496,214.051206,0.021809,0.915611,0.021809
Kyber512,213.820725,213.820453,0.013480,0.898692,0.013480
Kyber512,214.489276,214.489038,0.016316,0.902874,0.016316
Kyber512,213.906629,213.906287,0.015812,0.921488,0.015812
Kyber512,214.870583,214.870257,0.016878,1.019567,0.016878
Kyber512,214.694252,214.693913,0.015479,0.973209,0.015479
Kyber512,214.988571,214.988232,0.014033,0.942141,0.014033
Kyber512,214.918024,214.917689,0.016285,0.941354,0.016285
Kyber512,214.933448,214.933216,0.017328,0.897832,0.017328
Kyber512,214.345784,214.345525,0.012573,0.967342,0.012573
Kyber512,214.534252,214.533974,0.014268,1.035521,0.014268
Kyber512,214.606032,214.605816,0.019335,1.097491,0.019335
Kyber512,214.084349,214.084020,0.012965,0.923900,0.012965
Kyber512,214.219088,214.218815,0.014828,0.934776,0.014828
Kyber512,213.886209,213.885974,0.013481,0.922533,0.013481
Kyber512,214.773189,214.772943,0.016907,0.920052,0.016907
Kyber512,214.101168,214.100948,0.016896,1.383292,0.016896
Kyber512,214.118121,214.117905,0.021663,0.919989,0.021663
Kyber512,214.397595,214.397298,0.017625,1.067779,0.017625
Kyber512,214.365155,214.364847,0.017269,0.915327,0.017269
Kyber512,214.692897,214.692680,0.012259,0.952847,0.012259
Kyber512,214.261634,214.261345,0.017282,0.943413,0.017282
Kyber512,213.782538,213.782220,0.016849,0.925833,0.016849
Kyber512,214.377721,214.377390,0.017992,0.949617,0.017992
Kyber512,214.377485,214.377184,0.013490,0.962808,0.013490
Kyber512,214.934574,214.934266,0.022726,0.946811,0.022726
Kyber512,214.332193,214.331968,0.017970,0.914544,0.017970
Kyber512,214.996338,214.996101,0.024289,0.928611,0.024289
Kyber512,214.433939,214.433653,0.014694,1.062328,0.014694
Kyber512,219.089129,219.088913,0.015862,0.977566,0.015862
Kyber512,214.590151,214.589910,0.014090,1.008870,0.014090
Kyber512,214.691714,214.691116,0.022883,1.080461,0.022883
Kyber512,214.994193,214.993907,0.016440,0.918258,0.016440
Kyber512,214.515298,214.514891,0.016782,0.934492,0.016782
Kyber512,214.697028,214.696733,0.015146,0.906843,0.015146
Kyber512,214.271306,214.270970,0.017763,0.876865,0.017763
Kyber512,214.466922,214.466691,0.013978,0.878501,0.013978
Kyber512,214.223726,214.223415,0.016826,0.939426,0.016826
Kyber512,214.528624,214.528324,0.024771,0.885259,0.024771
Kyber512,214.665591,214.665273,0.017419,0.778908,0.017419
Kyber512,214.028960,214.028633,0.016591,0.891060,0.016591
Kyber512,213.771572,213.771341,0.015674,0.953665,0.015674
Kyber512,214.755298,214.755071,0.013937,0.880854,0.013937
Kyber512,214.098397,214.098091,0.017531,0.929868,0.017531
Kyber512,214.199234,214.198942,0.015911,0.918278,0.015911
Kyber512,214.426650,214.426368,0.021184,0.958782,0.021184
Kyber512,214.935584,214.935246,0.021238,0.882763,0.021238
Kyber512,213.920428,213.920213,0.026053,0.932711,0.026053
Kyber512,214.331516,214.331194,0.014768,0.927471,0.014768
Kyber512,214.785636,214.785401,0.023795,0.991256,0.023795
Kyber512,214.344908,214.344600,0.016036,1.019578,0.016036
Kyber512,214.061078,214.060854,0.012465,0.922171,0.012465
Kyber512,214.795091,214.794415,0.021318,0.930327,0.021318
Kyber512,214.785407,214.785122,0.016779,1.360046,0.016779
Kyber512,213.867568,213.867354,0.024226,1.003148,0.024226
Kyber512,214.055231,214.054903,0.012141,0.940234,0.012141
Kyber512,214.556681,214.556431,0.013060,0.947707,0.013060
Kyber512,214.850881,214.850621,0.016098,0.958848,0.016098
Kyber512,213.754412,213.754092,0.024734,1.051168,0.024734
Kyber512,214.339903,214.339668,0.013021,0.906722,0.013021
Kyber512,214.260419,214.260117,0.016818,0.888726,0.016818
Kyber512,213.949077,213.948762,0.015958,0.884638,0.015958
Kyber512,213.753053,213.752740,0.014380,1.007723,0.014380
Kyber512,214.421076,214.420752,0.015420,0.905872,0.015420
Kyber512,214.952462,214.952223,0.021301,0.942944,0.021301
Kyber512,214.440432,214.440183,0.013290,0.935527,0.013290
Kyber512,214.072482,214.072146,0.024768,0.907837,0.024768
Kyber512,213.826904,213.826670,0.014758,1.133899,0.014758
Kyber512,214.025849,214.025557,0.015504,0.875290,0.015504
Kyber512,214.884018,214.883704,0.018658,1.031253,0.018658
Kyber512,214.874835,214.874603,0.022784,0.900255,0.022784
Kyber512,214.448696,214.448382,0.015752,0.918068,0.015752
Kyber512,213.603909,213.603577,0.017623,0.898509,0.017623
Kyber512,213.833319,213.832993,0.015814,0.924349,0.015814
Kyber512,214.638782,214.638482,0.025101,0.892664,0.025101
Kyber512,214.307511,214.307165,0.017939,0.890672,0.017939
Kyber512,214.334075,214.333742,0.016130,0.904494,0.016130
Kyber512,214.574135,214.573822,0.016735,0.898207,0.016735
Kyber512,214.584050,214.583742,0.023787,0.873127,0.023787
Kyber512,214.402571,214.402310,0.023007,1.070716,0.023007
Kyber512,213.480655,213.480323,0.015607,0.969401,0.015607
Kyber512,214.498988,214.498773,0.017314,0.878486,0.017314
Kyber512,214.024141,214.023800,0.016943,1.007824,0.016943
Kyber512,214.142559,214.142250,0.013920,0.904465,0.013920
Kyber512,214.537488,214.537171,0.016890,0.928540,0.016890
Kyber512,214.409809,214.409526,0.013870,0.902197,0.013870
Kyber512,214.133569,214.133355,0.020485,1.011888,0.020485
Kyber512,213.831540,213.831282,0.017909,0.903164,0.017909
Kyber512,214.990645,214.990316,0.016787,0.933976,0.016787
Kyber512,214.550970,214.550744,0.022887,0.947712,0.022887
Kyber512,214.233078,214.232790,0.022530,0.926483,0.022530
Kyber512,214.613052,214.612824,0.017889,1.288258,0.017889
Kyber512,214.427387,214.427176,0.014173,0.916030,0.014173
Kyber512,214.328327,214.327992,0.016258,0.867435,0.016258
Kyber512,214.210137,214.209809,0.013147,0.911914,0.013147
Kyber512,214.950265,214.949932,0.016586,0.922662,0.016586
Kyber512,214.684096,214.683767,0.016087,0.848567,0.016087
Kyber512,214.123950,214.123631,0.014653,0.922885,0.014653
Kyber512,214.669113,214.668868,0.022959,0.917235,0.022959
Kyber512,213.949076,213.948751,0.026413,1.018652,0.026413
Kyber512,214.225626,214.225302,0.012177,0.912940,0.012177
Kyber512,214.168831,214.168506,0.013517,0.906418,0.013517
Kyber512,214.855919,214.855623,0.015857,0.898590,0.015857
Kyber512,214.240845,214.240525,0.014173,0.954109,0.014173
Kyber512,214.730763,214.730434,0.028911,1.063189,0.028911
Kyber512,214.094474,214.094151,0.014829,0.901909,0.014829
Kyber512,214.115985,214.115760,0.017164,0.901239,0.017164
Kyber512,213.860330,213.860105,0.014404,0.900437,0.014404
Kyber512,214.077650,214.077347,0.023218,0.903659,0.023218
Kyber512,214.262954,214.262628,0.017136,1.031961,0.017136
Kyber512,214.803295,214.802981,0.018198,0.890062,0.018198
Kyber512,214.411940,214.411710,0.019379,0.898869,0.019379
Kyber512,214.108318,214.107981,0.015615,0.865671,0.015615
Kyber512,214.753273,214.752978,0.015330,1.011650,0.015330
Kyber512,214.409929,214.409634,0.016172,0.882381,0.016172
Kyber512,214.613528,214.613230,0.017249,0.938858,0.017249
Kyber512,214.420410,214.420104,0.022632,0.889179,0.022632
Kyber512,214.989459,214.989132,0.016355,1.093105,0.016355
Kyber512,214.850097,214.849798,0.021557,0.936078,0.021557
Kyber512,213.321346,213.321018,0.025135,0.859598,0.025135
Kyber512,213.567700,213.567383,0.018197,0.908363,0.018197
Kyber512,214.541311,214.540982,0.011723,1.115028,0.011723
Kyber512,214.153183,214.152566,0.018825,0.913697,0.018825
Kyber512,213.564674,213.564448,0.017363,0.976455,0.017363
Kyber512,213.837319,213.837095,0.015756,0.984876,0.015756
Kyber512,214.372827,214.372600,0.014770,0.894266,0.014770
Kyber512,214.498642,214.498416,0.021168,0.890370,0.021168
Kyber512,214.556412,214.556099,0.013781,1.130101,0.013781
Kyber512,215.567981,215.567742,0.012539,1.541463,0.012539
Kyber512,214.773010,214.772667,0.017358,1.003711,0.017358
Kyber512,214.321897,214.321589,0.013070,0.906234,0.013070
Kyber512,214.333964,214.333677,0.019640,1.038294,0.019640
Kyber512,214.557435,214.557107,0.015491,0.916813,0.015491
Kyber512,213.780006,213.779732,0.024901,0.892439,0.024901
Kyber512,214.483918,214.483691,0.023630,1.145007,0.023630
Kyber512,213.943559,213.943330,0.021607,0.907659,0.021607
Kyber512,213.641360,213.641043,0.016114,0.868634,0.016114
Kyber512,215.065373,215.065106,0.021643,1.045657,0.021643
Kyber512,214.428834,214.428607,0.019868,0.890168,0.019868
Kyber512,214.054826,214.054588,0.013985,0.882669,0.013985
Kyber512,213.970300,213.970066,0.015464,0.960070,0.015464
Kyber512,214.982011,214.981680,0.017029,0.896378,0.017029
Kyber512,214.530932,214.530712,0.016855,0.930903,0.016855
Kyber512,214.176934,214.176610,0.018932,1.045904,0.018932
Kyber512,213.740088,213.739778,0.015048,0.947472,0.015048
Kyber512,214.196581,214.196356,0.024260,0.938790,0.024260
Kyber512,214.126346,214.126031,0.015147,0.904219,0.015147
Kyber512,214.125015,214.124707,0.014656,0.878091,0.014656
Kyber512,214.788472,214.788253,0.022031,1.140888,0.022031
Kyber512,214.681863,214.681587,0.018269,1.165840,0.018269
Kyber512,214.256140,214.255830,0.016013,0.943671,0.016013
Kyber512,214.854240,214.854017,0.018726,0.896400,0.018726
Kyber512,214.533236,214.533009,0.012300,0.894998,0.012300
Kyber512,214.219541,214.219213,0.022567,0.936423,0.022567
Kyber512,214.048442,214.048238,0.042514,0.884316,0.042514
Kyber512,214.543616,214.543379,0.017025,0.987804,0.017025
Kyber512,213.932370,213.925391,0.012797,1.052821,0.012797
Kyber512,214.578986,214.578700,0.013695,1.069748,0.013695
Kyber512,214.594443,214.594125,0.017050,0.883240,0.017050
Kyber512,214.258297,214.258017,0.024129,0.993448,0.024129
Kyber512,213.741643,213.741362,0.012802,0.928247,0.012802
Kyber512,214.126551,214.126295,0.023068,0.915917,0.023068
Kyber512,214.256177,214.255860,0.017639,0.975490,0.017639
Kyber512,214.477715,214.477476,0.012929,0.930108,0.012929
Kyber512,214.474415,214.474185,0.013612,1.134863,0.013612
Kyber512,214.803168,214.802819,0.017846,0.975336,0.017846
Kyber512,214.157523,214.157194,0.024586,0.957691,0.024586
Kyber512,214.573172,214.572832,0.017812,0.937139,0.017812
Kyber512,214.292757,214.292442,0.014994,0.938187,0.014994
Kyber512,214.407598,214.407291,0.018256,0.930358,0.018256
Kyber512,214.488182,214.487947,0.020997,0.918812,0.020997
Kyber512,214.139015,214.138728,0.016923,1.018110,0.016923
Kyber512,214.254259,214.253926,0.015282,0.905228,0.015282
Kyber512,214.834239,214.833913,0.016315,0.864306,0.016315
Kyber512,213.811565,213.811357,0.012832,1.185177,0.012832
Kyber512,214.334246,214.333938,0.018527,0.913722,0.018527
Kyber512,214.097032,214.096739,0.021765,1.100839,0.021765
Kyber512,214.300175,214.299889,0.022425,0.883674,0.022425
Kyber512,213.970967,213.970650,0.016886,0.904916,0.016886
Kyber512,214.222010,214.221681,0.014182,0.881347,0.014182
Kyber512,214.917891,214.917620,0.018965,0.897036,0.018965
Kyber512,214.509654,214.509323,0.016434,0.876483,0.016434
Kyber512,214.169258,214.169037,0.013554,0.926337,0.013554
Kyber512,214.719606,214.719302,0.017784,0.938428,0.017784
Kyber512,214.472756,214.472422,0.014899,0.904473,0.014899
Kyber512,214.662364,214.661617,0.024794,0.877842,0.024794
Kyber512,213.794836,213.794512,0.020520,0.893510,0.020520
Kyber512,213.999106,213.998806,0.022147,0.897172,0.022147
Kyber512,214.710686,214.710468,0.016165,1.101572,0.016165
Kyber512,213.976627,213.976402,0.017185,0.881877,0.017185
Kyber512,214.360431,214.360117,0.017836,0.923358,0.017836
Kyber512,214.451052,214.450749,0.015396,0.901042,0.015396
Kyber512,214.035260,214.035045,0.020149,0.911763,0.020149
Kyber512,214.507455,214.507219,0.024007,1.042272,0.024007
Kyber512,214.625215,214.624918,0.022219,1.052429,0.022219
Kyber512,214.673799,214.673565,0.024076,0.943547,0.024076
Kyber512,215.274200,215.273916,0.018921,1.084368,0.018921
Kyber512,214.411370,214.411143,0.019355,0.948576,0.019355
Kyber512,214.038369,214.038134,0.014810,0.891407,0.014810
Kyber512,214.879131,214.878849,0.018428,0.916947,0.018428
Kyber512,214.918565,214.918337,0.024486,0.926895,0.024486
Kyber512,214.293755,214.293432,0.016411,0.957861,0.016411
Kyber512,215.110640,215.110311,0.013688,1.084841,0.013688
Kyber512,214.719149,214.718932,0.019042,2.195974,0.019042
Kyber512,214.910828,214.910610,0.014980,1.051895,0.014980
Kyber512,213.798226,213.798000,0.013939,0.904278,0.013939
Kyber512,214.549377,214.549113,0.017859,0.947573,0.017859
Kyber512,214.586828,214.586497,0.014820,1.191206,0.014820
Kyber512,214.562373,214.561821,0.017843,0.955397,0.017843
Kyber512,214.135567,214.135277,0.013647,1.003932,0.013647
Kyber512,214.224257,214.223945,0.039638,0.927871,0.039638
Kyber512,214.075591,214.075356,0.016855,0.875084,0.016855
Kyber512,214.371503,214.371277,0.013749,0.961545,0.013749
Kyber512,214.296579,214.296309,0.019271,0.930502,0.019271
Kyber512,214.675104,214.674775,0.016404,1.108026,0.016404
Kyber512,214.039927,214.039703,0.024179,0.929125,0.024179
Kyber512,214.351552,214.351250,0.024103,0.884717,0.024103
