algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,425.788707,0.013044,0.128841,0.013044
Kyber512,427.217593,0.013867,0.130504,0.013867
Kyber512,426.576329,0.019229,0.135368,0.019229
Kyber512,426.286781,0.014972,0.122535,0.014972
Kyber512,426.490516,0.013799,0.139790,0.013799
Kyber512,425.704186,0.016895,0.192904,0.016895
Kyber512,425.554366,0.012019,0.127138,0.012019
Kyber512,427.399849,0.016261,0.135578,0.016261
Kyber512,425.191845,0.018031,0.140132,0.018031
Kyber512,426.755762,0.018115,0.231179,0.018115
Kyber512,426.129223,0.016849,0.129621,0.016849
Kyber512,427.512647,0.016143,0.127472,0.016143
Kyber512,427.202223,0.018231,0.126993,0.018231
Kyber512,426.265801,0.012878,0.132242,0.012878
Kyber512,427.506712,0.015311,0.128119,0.015311
Kyber512,426.701445,0.016593,0.144366,0.016593
Kyber512,426.294988,0.015485,0.129079,0.015485
Kyber512,425.944960,0.015755,0.122251,0.015755
Kyber512,426.136265,0.015504,0.125297,0.015504
Kyber512,425.420257,0.076004,0.198971,0.076004
Kyber512,430.134948,0.017358,0.126458,0.017358
Kyber512,425.554280,0.016455,0.145910,0.016455
Kyber512,425.158165,0.013363,0.130181,0.013363
Kyber512,425.514937,0.010851,0.152282,0.010851
Kyber512,425.973477,0.010003,0.120991,0.010003
Kyber512,425.368648,0.016815,0.117753,0.016815
Kyber512,426.465969,0.018338,0.147780,0.018338
Kyber512,427.816250,0.012116,0.133936,0.012116
Kyber512,426.743257,0.074168,0.119873,0.074168
Kyber512,427.030958,0.017536,0.149798,0.017536
Kyber512,427.407545,0.015184,0.147371,0.015184
Kyber512,425.283586,0.016374,0.144442,0.016374
Kyber512,425.492791,0.013467,0.122028,0.013467
Kyber512,425.222004,0.014114,0.121160,0.014114
Kyber512,426.956104,0.012032,0.139047,0.012032
Kyber512,426.119183,0.015265,0.132531,0.015265
Kyber512,426.537086,0.016975,0.139236,0.016975
Kyber512,427.234442,0.015979,0.142106,0.015979
Kyber512,426.681023,0.010528,0.122201,0.010528
Kyber512,425.985398,0.018030,0.111929,0.018030
Kyber512,427.278915,0.011468,0.128243,0.011468
Kyber512,426.789905,0.017696,0.124712,0.017696
Kyber512,426.548142,0.011878,0.151823,0.011878
Kyber512,427.182548,0.017295,0.126112,0.017295
Kyber512,425.383362,0.015649,0.126231,0.015649
Kyber512,425.376933,0.015471,0.145150,0.015471
Kyber512,426.320385,0.017715,0.124753,0.017715
Kyber512,426.283443,0.018427,0.125317,0.018427
Kyber512,425.420325,0.014307,0.134202,0.014307
Kyber512,426.173505,0.014047,0.159477,0.014047
Kyber512,426.066527,0.017295,0.136858,0.017295
Kyber512,426.672753,0.014774,0.123002,0.014774
Kyber512,426.755635,0.017774,0.132788,0.017774
Kyber512,425.018942,0.012386,0.130583,0.012386
Kyber512,425.577914,0.013760,0.135479,0.013760
Kyber512,426.564864,0.013305,0.179241,0.013305
Kyber512,426.975938,0.016882,0.131601,0.016882
Kyber512,426.620659,0.014345,0.149313,0.014345
Kyber512,426.108008,0.017613,0.136310,0.017613
Kyber512,426.624999,0.014279,0.133492,0.014279
Kyber512,427.169840,0.016270,0.120414,0.016270
Kyber512,426.557623,0.017218,0.172234,0.017218
Kyber512,427.254943,0.018112,0.128477,0.018112
Kyber512,425.408618,0.015253,0.118320,0.015253
Kyber512,427.008465,0.013610,0.131501,0.013610
Kyber512,426.969248,0.014540,0.135262,0.014540
Kyber512,427.516960,0.012840,0.144778,0.012840
Kyber512,425.651124,0.013728,0.166983,0.013728
Kyber512,426.513837,0.014959,0.125349,0.014959
Kyber512,427.312674,0.013202,0.128067,0.013202
Kyber512,426.154973,0.016207,0.144911,0.016207
Kyber512,426.441290,0.013123,0.125402,0.013123
Kyber512,427.702510,0.012753,0.149028,0.012753
Kyber512,427.419304,0.014988,0.210509,0.014988
Kyber512,427.361518,0.017802,0.121444,0.017802
Kyber512,425.167130,0.018014,0.142340,0.018014
Kyber512,425.681403,0.020752,0.142251,0.020752
Kyber512,426.416415,0.018026,0.129915,0.018026
Kyber512,426.132019,0.017789,0.133875,0.017789
Kyber512,425.782431,0.040491,0.136690,0.040491
Kyber512,426.116033,0.013378,0.165665,0.013378
Kyber512,425.305362,0.011716,0.151514,0.011716
Kyber512,426.266444,0.011068,0.137503,0.011068
Kyber512,427.268511,0.013860,0.138108,0.013860
Kyber512,427.292940,0.019395,0.121629,0.019395
Kyber512,427.409078,0.015198,0.146673,0.015198
Kyber512,425.441863,0.018762,0.134499,0.018762
Kyber512,427.106173,0.016257,0.125145,0.016257
Kyber512,425.862850,0.013350,0.127082,0.013350
