KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,214.755736,0.016445,0.166054
P256_Kyber512,P256_Dilithium2,215.655709,0.019508,0.159851
P256_Kyber512,P256_Dilithium2,215.167614,0.016038,0.164954
P256_Kyber512,P256_Dilithium2,215.817078,0.014179,0.177695
P256_Kyber512,P256_Dilithium2,215.495738,0.016722,0.184667
P256_Kyber512,P256_Dilithium2,215.183700,0.014006,0.149020
P256_Kyber512,P256_Dilithium2,215.376282,0.010780,0.190973
P256_Kyber512,P256_Dilithium2,215.389755,0.014090,0.193356
P256_Kyber512,P256_Dilithium2,215.297798,0.010586,0.160646
P256_Kyber512,P256_Dilithium2,215.501375,0.015644,0.161127
P256_Kyber512,P256_Dilithium2,215.583609,0.018253,0.163189
P256_Kyber512,P256_Dilithium2,215.190103,0.013079,0.175530
P256_Kyber512,P256_Dilithium2,215.862136,0.013317,0.188436
P256_Kyber512,P256_Dilithium2,215.380738,0.015459,0.151262
P256_Kyber512,P256_Dilithium2,215.000206,0.012985,0.166835
P256_Kyber512,P256_Dilithium2,215.309470,0.013908,0.174508
P256_Kyber512,P256_Dilithium2,216.147951,0.011073,0.171431
P256_Kyber512,P256_Dilithium2,216.233828,0.016510,0.197786
P256_Kyber512,P256_Dilithium2,214.752565,0.010950,0.193662
P256_Kyber512,P256_Dilithium2,215.843098,0.015575,0.176625
P256_Kyber512,P256_Dilithium2,215.552853,0.015077,0.166900
P256_Kyber512,P256_Dilithium2,215.446085,0.011774,0.155157
P256_Kyber512,P256_Dilithium2,215.756922,0.012822,0.171776
P256_Kyber512,P256_Dilithium2,215.119665,0.013837,0.180057
P256_Kyber512,P256_Dilithium2,214.895912,0.015033,0.165091
P256_Kyber512,P256_Dilithium2,215.138332,0.016109,0.189067
P256_Kyber512,P256_Dilithium2,215.456423,0.012940,0.188298
P256_Kyber512,P256_Dilithium2,215.011594,0.014592,0.162807
