KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,214.213132,0.009128,0.169274
P256_Kyber512,P256_Dilithium2,214.897630,0.018157,0.161578
P256_Kyber512,P256_Dilithium2,214.689790,0.014402,0.174110
P256_Kyber512,P256_Dilithium2,215.180801,0.013001,0.146159
P256_Kyber512,P256_Dilithium2,215.341780,0.013570,0.157837
P256_Kyber512,P256_Dilithium2,214.975886,0.014744,0.158771
P256_Kyber512,P256_Dilithium2,214.929382,0.014766,0.164131
P256_Kyber512,P256_Dilithium2,214.842999,0.014317,0.176894
P256_Kyber512,P256_Dilithium2,214.691324,0.017252,0.164045
P256_Kyber512,P256_Dilithium2,214.041449,0.009115,0.189200
P256_Kyber512,P256_Dilithium2,214.718205,0.016035,0.180889
P256_Kyber512,P256_Dilithium2,214.830188,0.011461,0.224137
P256_Kyber512,P256_Dilithium2,214.293450,0.014098,0.210292
P256_Kyber512,P256_Dilithium2,214.826379,0.014479,0.155666
P256_Kyber512,P256_Dilithium2,214.296065,0.015274,0.180619
P256_Kyber512,P256_Dilithium2,215.340561,0.010786,0.155999
P256_Kyber512,P256_Dilithium2,214.174378,0.015378,0.162317
P256_Kyber512,P256_Dilithium2,215.173345,0.017502,0.184369
P256_Kyber512,P256_Dilithium2,216.596761,0.015979,0.176292
P256_Kyber512,P256_Dilithium2,214.749190,0.015211,0.159997
P256_Kyber512,P256_Dilithium2,214.660460,0.014860,0.172916
P256_Kyber512,P256_Dilithium2,214.651396,0.014537,0.162689
P256_Kyber512,P256_Dilithium2,214.396060,0.008910,0.165937
P256_Kyber512,P256_Dilithium2,214.583290,0.009625,0.185464
P256_Kyber512,P256_Dilithium2,215.003855,0.015984,0.164567
P256_Kyber512,P256_Dilithium2,215.215669,0.016644,0.211200
P256_Kyber512,P256_Dilithium2,214.849607,0.011747,1.002326
P256_Kyber512,P256_Dilithium2,214.683261,0.015602,0.221080
P256_Kyber512,P256_Dilithium2,214.214072,0.017181,0.171781
P256_Kyber512,P256_Dilithium2,214.781804,0.015793,0.156965
P256_Kyber512,P256_Dilithium2,214.938433,0.015946,0.155915
P256_Kyber512,P256_Dilithium2,214.867714,0.017250,0.201629
P256_Kyber512,P256_Dilithium2,214.387604,0.014362,0.228439
P256_Kyber512,P256_Dilithium2,214.184508,0.013922,0.188494
P256_Kyber512,P256_Dilithium2,215.046140,0.014354,0.187774
P256_Kyber512,P256_Dilithium2,214.202907,0.015536,0.181383
P256_Kyber512,P256_Dilithium2,214.869830,0.013511,0.162393
P256_Kyber512,P256_Dilithium2,214.620390,0.010495,0.166454
P256_Kyber512,P256_Dilithium2,214.427445,0.012101,0.161269
P256_Kyber512,P256_Dilithium2,215.210418,0.013430,0.264666
P256_Kyber512,P256_Dilithium2,214.776454,0.011374,0.177226
P256_Kyber512,P256_Dilithium2,215.187687,0.015495,0.182435
P256_Kyber512,P256_Dilithium2,215.396975,0.016228,0.162938
P256_Kyber512,P256_Dilithium2,214.659657,0.013550,0.156090
P256_Kyber512,P256_Dilithium2,214.668157,0.011681,0.157538
P256_Kyber512,P256_Dilithium2,214.784344,0.015254,0.208439
P256_Kyber512,P256_Dilithium2,215.953171,0.012344,0.177132
P256_Kyber512,P256_Dilithium2,214.911774,0.016907,0.164635
P256_Kyber512,P256_Dilithium2,214.882696,0.010233,0.171237
P256_Kyber512,P256_Dilithium2,214.844417,0.009054,0.181623
P256_Kyber512,P256_Dilithium2,215.180309,0.017849,0.213150
P256_Kyber512,P256_Dilithium2,214.578136,0.012610,0.183122
P256_Kyber512,P256_Dilithium2,215.817483,0.009932,0.177143
P256_Kyber512,P256_Dilithium2,214.788131,0.010187,0.217090
P256_Kyber512,P256_Dilithium2,214.039072,0.017503,0.160020
P256_Kyber512,P256_Dilithium2,215.200846,0.015590,0.188610
P256_Kyber512,P256_Dilithium2,215.270700,0.010358,0.227949
P256_Kyber512,P256_Dilithium2,215.427573,0.012110,0.173163
P256_Kyber512,P256_Dilithium2,214.967903,0.014713,0.292199
