Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_HQC_128,139.525296
P256_HQC_128,P256_HQC_128,145.540117
P256_HQC_128,P256_HQC_128,142.188735
P256_HQC_128,P256_HQC_128,146.696449
P256_HQC_128,P256_HQC_128,134.292495
P256_HQC_128,P256_HQC_128,139.422119
P256_HQC_128,P256_HQC_128,144.759073
P256_HQC_128,P256_HQC_128,137.454331
P256_HQC_128,P256_HQC_128,149.790083
P256_HQC_128,P256_HQC_128,137.684847
P256_HQC_128,P256_HQC_128,138.780408
P256_HQC_128,P256_HQC_128,136.803438
P256_HQC_128,P256_HQC_128,147.767563
P256_HQC_128,P256_HQC_128,146.277395
P256_HQC_128,P256_HQC_128,145.692297
P256_HQC_128,P256_HQC_128,143.918279
P256_HQC_128,P256_HQC_128,156.353501
P256_HQC_128,P256_HQC_128,141.691296
P256_HQC_128,P256_HQC_128,138.40738
P256_HQC_128,P256_HQC_128,141.113401
P256_HQC_128,P256_HQC_128,143.796582
P256_HQC_128,P256_HQC_128,140.147768
P256_HQC_128,P256_HQC_128,145.052886
P256_HQC_128,P256_HQC_128,155.924288
P256_HQC_128,P256_HQC_128,139.568742
P256_HQC_128,P256_HQC_128,138.351252
P256_HQC_128,P256_HQC_128,156.64575
P256_HQC_128,P256_HQC_128,147.170924
P256_HQC_128,P256_HQC_128,134.495986
P256_HQC_128,P256_HQC_128,143.397526
P256_HQC_128,P256_HQC_128,133.214559
P256_HQC_128,P256_HQC_128,140.106173
P256_HQC_128,P256_HQC_128,142.454386
P256_HQC_128,P256_HQC_128,149.338487
P256_HQC_128,P256_HQC_128,147.006209
P256_HQC_128,P256_HQC_128,137.254947
P256_HQC_128,P256_HQC_128,155.97423
P256_HQC_128,P256_HQC_128,137.695754
P256_HQC_128,P256_HQC_128,132.86573
P256_HQC_128,P256_HQC_128,143.247074
P256_HQC_128,P256_HQC_128,147.942035
P256_HQC_128,P256_HQC_128,143.261523
P256_HQC_128,P256_HQC_128,149.069062
P256_HQC_128,P256_HQC_128,135.740897
P256_HQC_128,P256_HQC_128,142.332839
P256_HQC_128,P256_HQC_128,135.538044
P256_HQC_128,P256_HQC_128,141.917371
P256_HQC_128,P256_HQC_128,140.927188
P256_HQC_128,P256_HQC_128,140.647954
P256_HQC_128,P256_HQC_128,148.905079
P256_HQC_128,P256_HQC_128,136.16869
P256_HQC_128,P256_HQC_128,137.748258
P256_HQC_128,P256_HQC_128,137.686749
P256_HQC_128,P256_HQC_128,136.623417
P256_HQC_128,P256_HQC_128,148.256605
P256_HQC_128,P256_HQC_128,152.893639
P256_HQC_128,P256_HQC_128,146.629238
P256_HQC_128,P256_HQC_128,148.05456
P256_HQC_128,P256_HQC_128,149.384705
P256_HQC_128,P256_HQC_128,135.310829
P256_HQC_128,P256_HQC_128,138.621446
P256_HQC_128,P256_HQC_128,147.2977
P256_HQC_128,P256_HQC_128,145.8736
P256_HQC_128,P256_HQC_128,144.369154
P256_HQC_128,P256_HQC_128,138.016354
