Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_Dilithium2,140.596879
P256_HQC_128,P256_Dilithium2,152.139085
P256_HQC_128,P256_Dilithium2,142.139785
P256_HQC_128,P256_Dilithium2,144.453234
P256_HQC_128,P256_Dilithium2,139.991485
P256_HQC_128,P256_Dilithium2,144.647371
P256_HQC_128,P256_Dilithium2,132.520491
P256_HQC_128,P256_Dilithium2,134.127445
P256_HQC_128,P256_Dilithium2,134.264907
P256_HQC_128,P256_Dilithium2,132.310994
P256_HQC_128,P256_Dilithium2,135.040392
P256_HQC_128,P256_Dilithium2,140.511821
P256_HQC_128,P256_Dilithium2,143.0365
P256_HQC_128,P256_Dilithium2,134.486065
P256_HQC_128,P256_Dilithium2,135.628403
P256_HQC_128,P256_Dilithium2,150.61562
P256_HQC_128,P256_Dilithium2,139.097964
P256_HQC_128,P256_Dilithium2,146.803124
P256_HQC_128,P256_Dilithium2,148.131482
P256_HQC_128,P256_Dilithium2,133.056498
P256_HQC_128,P256_Dilithium2,135.533947
P256_HQC_128,P256_Dilithium2,135.278373
P256_HQC_128,P256_Dilithium2,141.161447
P256_HQC_128,P256_Dilithium2,146.131845
P256_HQC_128,P256_Dilithium2,144.856193
P256_HQC_128,P256_Dilithium2,140.976421
P256_HQC_128,P256_Dilithium2,131.775207
P256_HQC_128,P256_Dilithium2,141.634949
P256_HQC_128,P256_Dilithium2,133.14994
P256_HQC_128,P256_Dilithium2,137.556676
P256_HQC_128,P256_Dilithium2,133.673066
P256_HQC_128,P256_Dilithium2,138.824851
P256_HQC_128,P256_Dilithium2,136.819637
P256_HQC_128,P256_Dilithium2,136.654364
P256_HQC_128,P256_Dilithium2,140.464496
P256_HQC_128,P256_Dilithium2,145.681764
P256_HQC_128,P256_Dilithium2,135.954243
P256_HQC_128,P256_Dilithium2,137.03459
P256_HQC_128,P256_Dilithium2,133.242916
P256_HQC_128,P256_Dilithium2,131.530039
P256_HQC_128,P256_Dilithium2,140.670596
P256_HQC_128,P256_Dilithium2,134.085601
P256_HQC_128,P256_Dilithium2,139.106211
P256_HQC_128,P256_Dilithium2,139.049396
P256_HQC_128,P256_Dilithium2,132.513063
P256_HQC_128,P256_Dilithium2,141.50789
P256_HQC_128,P256_Dilithium2,133.575649
P256_HQC_128,P256_Dilithium2,144.059087
P256_HQC_128,P256_Dilithium2,135.155202
P256_HQC_128,P256_Dilithium2,149.201398
P256_HQC_128,P256_Dilithium2,134.203882
P256_HQC_128,P256_Dilithium2,133.840635
P256_HQC_128,P256_Dilithium2,137.95595
P256_HQC_128,P256_Dilithium2,132.101578
P256_HQC_128,P256_Dilithium2,142.540186
P256_HQC_128,P256_Dilithium2,139.228586
P256_HQC_128,P256_Dilithium2,150.37564
P256_HQC_128,P256_Dilithium2,140.321412
P256_HQC_128,P256_Dilithium2,145.721364
P256_HQC_128,P256_Dilithium2,141.911846
P256_HQC_128,P256_Dilithium2,131.902285
P256_HQC_128,P256_Dilithium2,138.643923
P256_HQC_128,P256_Dilithium2,141.861171
P256_HQC_128,P256_Dilithium2,145.270037
P256_HQC_128,P256_Dilithium2,141.913712
P256_HQC_128,P256_Dilithium2,141.444919
P256_HQC_128,P256_Dilithium2,130.436538
P256_HQC_128,P256_Dilithium2,136.300744
P256_HQC_128,P256_Dilithium2,142.686792
P256_HQC_128,P256_Dilithium2,134.779949
P256_HQC_128,P256_Dilithium2,142.571476
P256_HQC_128,P256_Dilithium2,133.174531
P256_HQC_128,P256_Dilithium2,141.207721
P256_HQC_128,P256_Dilithium2,136.934287
P256_HQC_128,P256_Dilithium2,132.268028
P256_HQC_128,P256_Dilithium2,151.608965
P256_HQC_128,P256_Dilithium2,146.238866
P256_HQC_128,P256_Dilithium2,141.891207
P256_HQC_128,P256_Dilithium2,152.447271
P256_HQC_128,P256_Dilithium2,147.69506
P256_HQC_128,P256_Dilithium2,133.547633
P256_HQC_128,P256_Dilithium2,136.756213
P256_HQC_128,P256_Dilithium2,140.582079
P256_HQC_128,P256_Dilithium2,131.355002
P256_HQC_128,P256_Dilithium2,134.973291
P256_HQC_128,P256_Dilithium2,142.377738
P256_HQC_128,P256_Dilithium2,137.343742
P256_HQC_128,P256_Dilithium2,141.95271
P256_HQC_128,P256_Dilithium2,130.656116
P256_HQC_128,P256_Dilithium2,129.709099
P256_HQC_128,P256_Dilithium2,136.351955
P256_HQC_128,P256_Dilithium2,135.943159
P256_HQC_128,P256_Dilithium2,143.353414
P256_HQC_128,P256_Dilithium2,138.109921
P256_HQC_128,P256_Dilithium2,137.356901
P256_HQC_128,P256_Dilithium2,149.44556
P256_HQC_128,P256_Dilithium2,143.219836
P256_HQC_128,P256_Dilithium2,143.732078
P256_HQC_128,P256_Dilithium2,150.678551
P256_HQC_128,P256_Dilithium2,131.984119
P256_HQC_128,P256_Dilithium2,141.064087
P256_HQC_128,P256_Dilithium2,141.865971
P256_HQC_128,P256_Dilithium2,131.579287
P256_HQC_128,P256_Dilithium2,144.379219
P256_HQC_128,P256_Dilithium2,142.643975
P256_HQC_128,P256_Dilithium2,146.987743
P256_HQC_128,P256_Dilithium2,146.372732
P256_HQC_128,P256_Dilithium2,135.08455
P256_HQC_128,P256_Dilithium2,139.554012
P256_HQC_128,P256_Dilithium2,135.496749
P256_HQC_128,P256_Dilithium2,138.778497
P256_HQC_128,P256_Dilithium2,142.013095
P256_HQC_128,P256_Dilithium2,130.164418
P256_HQC_128,P256_Dilithium2,134.36402
P256_HQC_128,P256_Dilithium2,140.878384
P256_HQC_128,P256_Dilithium2,137.081612
P256_HQC_128,P256_Dilithium2,152.464695
P256_HQC_128,P256_Dilithium2,142.850814
P256_HQC_128,P256_Dilithium2,142.711679
P256_HQC_128,P256_Dilithium2,139.190037
