Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_Dilithium2,93.601554
P256_HQC_128,P256_Dilithium2,86.761095
P256_HQC_128,P256_Dilithium2,88.851976
P256_HQC_128,P256_Dilithium2,93.88104
P256_HQC_128,P256_Dilithium2,92.424173
P256_HQC_128,P256_Dilithium2,88.638937
P256_HQC_128,P256_Dilithium2,88.825712
P256_HQC_128,P256_Dilithium2,96.495179
P256_HQC_128,P256_Dilithium2,97.898283
P256_HQC_128,P256_Dilithium2,89.211038
P256_HQC_128,P256_Dilithium2,92.848578
P256_HQC_128,P256_Dilithium2,88.693585
P256_HQC_128,P256_Dilithium2,97.042121
P256_HQC_128,P256_Dilithium2,89.310359
P256_HQC_128,P256_Dilithium2,100.370298
P256_HQC_128,P256_Dilithium2,89.887313
P256_HQC_128,P256_Dilithium2,89.950459
P256_HQC_128,P256_Dilithium2,94.094447
P256_HQC_128,P256_Dilithium2,88.244915
P256_HQC_128,P256_Dilithium2,95.921757
P256_HQC_128,P256_Dilithium2,95.071709
P256_HQC_128,P256_Dilithium2,88.373346
P256_HQC_128,P256_Dilithium2,92.869586
P256_HQC_128,P256_Dilithium2,91.836908
P256_HQC_128,P256_Dilithium2,90.476797
P256_HQC_128,P256_Dilithium2,94.328912
P256_HQC_128,P256_Dilithium2,92.276276
P256_HQC_128,P256_Dilithium2,92.505509
P256_HQC_128,P256_Dilithium2,90.875513
P256_HQC_128,P256_Dilithium2,98.140471
P256_HQC_128,P256_Dilithium2,87.618909
P256_HQC_128,P256_Dilithium2,96.56349
P256_HQC_128,P256_Dilithium2,92.165488
P256_HQC_128,P256_Dilithium2,99.005995
P256_HQC_128,P256_Dilithium2,94.264644
P256_HQC_128,P256_Dilithium2,99.412792
P256_HQC_128,P256_Dilithium2,98.496916
P256_HQC_128,P256_Dilithium2,89.704528
P256_HQC_128,P256_Dilithium2,95.566169
P256_HQC_128,P256_Dilithium2,93.680254
P256_HQC_128,P256_Dilithium2,92.893762
P256_HQC_128,P256_Dilithium2,87.472827
P256_HQC_128,P256_Dilithium2,89.698625
P256_HQC_128,P256_Dilithium2,86.760311
P256_HQC_128,P256_Dilithium2,97.18716
P256_HQC_128,P256_Dilithium2,88.207558
P256_HQC_128,P256_Dilithium2,89.699994
P256_HQC_128,P256_Dilithium2,93.379801
P256_HQC_128,P256_Dilithium2,91.668576
P256_HQC_128,P256_Dilithium2,91.198112
P256_HQC_128,P256_Dilithium2,95.207454
P256_HQC_128,P256_Dilithium2,91.830195
P256_HQC_128,P256_Dilithium2,96.74929
P256_HQC_128,P256_Dilithium2,85.724046
P256_HQC_128,P256_Dilithium2,93.122138
P256_HQC_128,P256_Dilithium2,90.538653
P256_HQC_128,P256_Dilithium2,89.273958
P256_HQC_128,P256_Dilithium2,89.32084
P256_HQC_128,P256_Dilithium2,91.549184
P256_HQC_128,P256_Dilithium2,93.220062
P256_HQC_128,P256_Dilithium2,95.568883
P256_HQC_128,P256_Dilithium2,86.272751
P256_HQC_128,P256_Dilithium2,91.661236
P256_HQC_128,P256_Dilithium2,96.072076
P256_HQC_128,P256_Dilithium2,95.098339
P256_HQC_128,P256_Dilithium2,90.835023
P256_HQC_128,P256_Dilithium2,89.094073
P256_HQC_128,P256_Dilithium2,88.626743
P256_HQC_128,P256_Dilithium2,87.723807
P256_HQC_128,P256_Dilithium2,88.659149
P256_HQC_128,P256_Dilithium2,88.778919
P256_HQC_128,P256_Dilithium2,89.298935
P256_HQC_128,P256_Dilithium2,92.178496
P256_HQC_128,P256_Dilithium2,88.912045
P256_HQC_128,P256_Dilithium2,93.599869
P256_HQC_128,P256_Dilithium2,89.962209
P256_HQC_128,P256_Dilithium2,87.67291
P256_HQC_128,P256_Dilithium2,95.849016
P256_HQC_128,P256_Dilithium2,96.029092
P256_HQC_128,P256_Dilithium2,90.966289
P256_HQC_128,P256_Dilithium2,89.159875
P256_HQC_128,P256_Dilithium2,88.577562
P256_HQC_128,P256_Dilithium2,95.720702
P256_HQC_128,P256_Dilithium2,91.485938
P256_HQC_128,P256_Dilithium2,89.82051
P256_HQC_128,P256_Dilithium2,89.946612
P256_HQC_128,P256_Dilithium2,88.276122
P256_HQC_128,P256_Dilithium2,90.760605
P256_HQC_128,P256_Dilithium2,93.577765
P256_HQC_128,P256_Dilithium2,89.998445
P256_HQC_128,P256_Dilithium2,93.400321
P256_HQC_128,P256_Dilithium2,91.784353
P256_HQC_128,P256_Dilithium2,92.699199
P256_HQC_128,P256_Dilithium2,91.250932
P256_HQC_128,P256_Dilithium2,92.670364
P256_HQC_128,P256_Dilithium2,90.820022
P256_HQC_128,P256_Dilithium2,92.672134
P256_HQC_128,P256_Dilithium2,91.47179
P256_HQC_128,P256_Dilithium2,90.05384
P256_HQC_128,P256_Dilithium2,93.391555
P256_HQC_128,P256_Dilithium2,89.848865
P256_HQC_128,P256_Dilithium2,89.368557
P256_HQC_128,P256_Dilithium2,94.389374
P256_HQC_128,P256_Dilithium2,89.038803
P256_HQC_128,P256_Dilithium2,90.675925
P256_HQC_128,P256_Dilithium2,88.782401
P256_HQC_128,P256_Dilithium2,94.035265
P256_HQC_128,P256_Dilithium2,90.513651
P256_HQC_128,P256_Dilithium2,93.572874
P256_HQC_128,P256_Dilithium2,86.867339
P256_HQC_128,P256_Dilithium2,93.185079
P256_HQC_128,P256_Dilithium2,96.278383
P256_HQC_128,P256_Dilithium2,89.540365
P256_HQC_128,P256_Dilithium2,91.262069
P256_HQC_128,P256_Dilithium2,93.553784
P256_HQC_128,P256_Dilithium2,88.53063
P256_HQC_128,P256_Dilithium2,94.711992
P256_HQC_128,P256_Dilithium2,94.218817
P256_HQC_128,P256_Dilithium2,92.152537
P256_HQC_128,P256_Dilithium2,94.391689
P256_HQC_128,P256_Dilithium2,90.550393
P256_HQC_128,P256_Dilithium2,91.380021
P256_HQC_128,P256_Dilithium2,89.347558
P256_HQC_128,P256_Dilithium2,87.975272
P256_HQC_128,P256_Dilithium2,91.486789
P256_HQC_128,P256_Dilithium2,95.369132
P256_HQC_128,P256_Dilithium2,91.070707
P256_HQC_128,P256_Dilithium2,89.390426
P256_HQC_128,P256_Dilithium2,91.304969
P256_HQC_128,P256_Dilithium2,90.993794
