KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,218.142939,0.012374,0.147275
P256_Kyber512,P256_Dilithium2,216.811832,0.014396,0.163634
P256_Kyber512,P256_Dilithium2,217.457278,0.012798,0.164704
P256_Kyber512,P256_Dilithium2,217.955617,0.015035,0.186217
P256_Kyber512,P256_Dilithium2,216.991686,0.013765,0.158341
P256_Kyber512,P256_Dilithium2,219.054853,0.013617,0.147433
P256_Kyber512,P256_Dilithium2,217.835415,0.011823,0.174659
P256_Kyber512,P256_Dilithium2,217.551396,0.013062,0.165810
P256_Kyber512,P256_Dilithium2,217.135213,0.019623,0.251326
P256_Kyber512,P256_Dilithium2,218.219541,0.012426,0.144927
P256_Kyber512,P256_Dilithium2,222.667505,0.014074,0.175260
P256_Kyber512,P256_Dilithium2,216.637618,0.013874,0.166682
P256_Kyber512,P256_Dilithium2,218.037484,0.014356,0.172706
P256_Kyber512,P256_Dilithium2,217.019506,0.011884,0.192349
P256_Kyber512,P256_Dilithium2,216.734677,0.011323,0.171037
P256_Kyber512,P256_Dilithium2,217.590655,0.014616,0.226846
P256_Kyber512,P256_Dilithium2,218.346104,0.013584,0.189387
P256_Kyber512,P256_Dilithium2,218.105660,0.011153,0.175395
P256_Kyber512,P256_Dilithium2,216.764632,0.011394,0.172465
P256_Kyber512,P256_Dilithium2,218.981987,0.019630,0.182137
P256_Kyber512,P256_Dilithium2,218.033641,0.018735,0.548139
P256_Kyber512,P256_Dilithium2,217.108626,0.015172,0.187252
P256_Kyber512,P256_Dilithium2,217.750840,0.013762,0.180820
P256_Kyber512,P256_Dilithium2,217.696336,0.019127,0.165787
P256_Kyber512,P256_Dilithium2,217.910150,0.014850,0.174348
P256_Kyber512,P256_Dilithium2,217.773552,0.014602,0.172528
P256_Kyber512,P256_Dilithium2,217.576165,0.016021,0.164575
P256_Kyber512,P256_Dilithium2,217.726606,0.010592,0.172668
P256_Kyber512,P256_Dilithium2,217.205350,0.014364,0.304905
P256_Kyber512,P256_Dilithium2,217.552222,0.013011,0.182589
P256_Kyber512,P256_Dilithium2,218.328144,0.013185,0.164682
P256_Kyber512,P256_Dilithium2,217.507172,0.013475,0.160011
P256_Kyber512,P256_Dilithium2,217.639091,0.012054,0.149073
P256_Kyber512,P256_Dilithium2,217.485979,0.015294,0.173061
P256_Kyber512,P256_Dilithium2,217.646651,0.009830,0.163096
P256_Kyber512,P256_Dilithium2,217.720187,0.009421,0.165164
P256_Kyber512,P256_Dilithium2,216.674529,0.015988,0.152664
P256_Kyber512,P256_Dilithium2,217.933942,0.017174,0.163616
P256_Kyber512,P256_Dilithium2,217.931037,0.013899,0.230585
P256_Kyber512,P256_Dilithium2,217.497941,0.013410,0.179169
P256_Kyber512,P256_Dilithium2,217.625541,0.015216,0.180585
P256_Kyber512,P256_Dilithium2,217.415063,0.009546,0.170716
P256_Kyber512,P256_Dilithium2,218.778484,0.013794,0.174509
P256_Kyber512,P256_Dilithium2,217.358177,0.010036,0.173582
P256_Kyber512,P256_Dilithium2,217.764683,0.014941,0.189483
P256_Kyber512,P256_Dilithium2,217.115102,0.015358,0.176824
P256_Kyber512,P256_Dilithium2,218.276877,0.009282,0.161541
P256_Kyber512,P256_Dilithium2,217.645982,0.012800,0.190372
P256_Kyber512,P256_Dilithium2,217.195195,0.018736,0.185557
P256_Kyber512,P256_Dilithium2,218.227490,0.014545,0.158185
P256_Kyber512,P256_Dilithium2,217.428495,0.014203,0.169364
P256_Kyber512,P256_Dilithium2,217.980054,0.014425,0.175520
P256_Kyber512,P256_Dilithium2,217.429615,0.013209,0.164145
P256_Kyber512,P256_Dilithium2,216.903120,0.015069,0.169782
P256_Kyber512,P256_Dilithium2,218.264975,0.014098,0.160578
P256_Kyber512,P256_Dilithium2,216.393138,0.013757,0.193300
P256_Kyber512,P256_Dilithium2,217.487243,0.017707,0.164876
P256_Kyber512,P256_Dilithium2,218.114618,0.014345,0.179468
P256_Kyber512,P256_Dilithium2,218.596761,0.016273,0.168064
P256_Kyber512,P256_Dilithium2,217.503517,0.013939,0.182055
P256_Kyber512,P256_Dilithium2,218.291575,0.012794,0.189889
P256_Kyber512,P256_Dilithium2,217.588512,0.009533,0.172137
P256_Kyber512,P256_Dilithium2,217.480011,0.014301,0.180767
P256_Kyber512,P256_Dilithium2,217.660755,0.013402,0.166738
P256_Kyber512,P256_Dilithium2,217.493737,0.018295,0.189157
P256_Kyber512,P256_Dilithium2,217.344860,0.012868,0.167070
P256_Kyber512,P256_Dilithium2,216.379304,0.016891,0.160340
P256_Kyber512,P256_Dilithium2,217.453151,0.017114,0.171660
P256_Kyber512,P256_Dilithium2,217.878327,0.017382,0.182115
P256_Kyber512,P256_Dilithium2,218.542833,0.013550,0.174619
P256_Kyber512,P256_Dilithium2,217.708104,0.014469,0.156881
P256_Kyber512,P256_Dilithium2,217.874749,0.014414,0.164095
P256_Kyber512,P256_Dilithium2,217.988503,0.009833,0.179611
P256_Kyber512,P256_Dilithium2,217.350506,0.010145,0.225770
P256_Kyber512,P256_Dilithium2,217.424317,0.015446,0.184842
P256_Kyber512,P256_Dilithium2,217.439467,0.015275,0.190096
P256_Kyber512,P256_Dilithium2,217.413299,0.013797,0.196031
P256_Kyber512,P256_Dilithium2,217.479617,0.017321,0.161243
P256_Kyber512,P256_Dilithium2,218.499967,0.014193,0.164493
P256_Kyber512,P256_Dilithium2,217.685313,0.013293,0.279703
P256_Kyber512,P256_Dilithium2,217.385623,0.009394,0.170394
P256_Kyber512,P256_Dilithium2,217.006044,0.015392,0.175460
P256_Kyber512,P256_Dilithium2,217.769597,0.011195,0.196779
P256_Kyber512,P256_Dilithium2,217.541419,0.014181,0.168918
P256_Kyber512,P256_Dilithium2,217.283725,0.014528,0.162798
P256_Kyber512,P256_Dilithium2,217.587931,0.014040,0.157116
P256_Kyber512,P256_Dilithium2,217.450668,0.012327,0.142305
P256_Kyber512,P256_Dilithium2,217.892926,0.013837,0.196742
P256_Kyber512,P256_Dilithium2,217.234077,0.010793,0.173203
P256_Kyber512,P256_Dilithium2,217.166754,0.014787,0.184587
P256_Kyber512,P256_Dilithium2,218.842597,0.017067,0.142479
P256_Kyber512,P256_Dilithium2,218.434108,0.034697,0.171278
P256_Kyber512,P256_Dilithium2,217.701833,0.014913,0.199926
P256_Kyber512,P256_Dilithium2,216.537235,0.015058,0.187654
P256_Kyber512,P256_Dilithium2,217.254043,0.010842,0.166106
P256_Kyber512,P256_Dilithium2,217.688175,0.018555,0.174000
P256_Kyber512,P256_Dilithium2,217.904683,0.014319,0.167309
P256_Kyber512,P256_Dilithium2,216.973349,0.016304,0.183539
P256_Kyber512,P256_Dilithium2,218.446382,0.010536,0.206655
P256_Kyber512,P256_Dilithium2,217.643989,0.015928,0.183722
P256_Kyber512,P256_Dilithium2,218.236464,0.010229,0.159543
P256_Kyber512,P256_Dilithium2,216.316002,0.017124,0.159221
P256_Kyber512,P256_Dilithium2,218.155276,0.015033,0.605275
P256_Kyber512,P256_Dilithium2,217.069944,0.010081,0.179692
P256_Kyber512,P256_Dilithium2,217.461862,0.012846,0.189486
P256_Kyber512,P256_Dilithium2,216.912656,0.013270,0.191302
P256_Kyber512,P256_Dilithium2,216.810663,0.018812,0.165442
P256_Kyber512,P256_Dilithium2,217.448584,0.012927,0.213061
P256_Kyber512,P256_Dilithium2,218.014141,0.016863,0.186537
P256_Kyber512,P256_Dilithium2,217.775784,0.010886,0.154550
P256_Kyber512,P256_Dilithium2,217.358781,0.016221,0.160474
P256_Kyber512,P256_Dilithium2,216.901717,0.012874,0.199261
P256_Kyber512,P256_Dilithium2,217.914642,0.017951,0.164486
P256_Kyber512,P256_Dilithium2,217.630936,0.011315,0.165344
P256_Kyber512,P256_Dilithium2,218.081294,0.016624,0.176400
P256_Kyber512,P256_Dilithium2,217.841528,0.018309,0.228437
P256_Kyber512,P256_Dilithium2,217.375692,0.014949,0.179434
P256_Kyber512,P256_Dilithium2,216.670528,0.023830,0.159045
P256_Kyber512,P256_Dilithium2,222.509047,0.018798,0.166958
P256_Kyber512,P256_Dilithium2,218.130305,0.016263,0.167114
P256_Kyber512,P256_Dilithium2,218.068981,0.015291,0.166898
P256_Kyber512,P256_Dilithium2,217.743753,0.012212,0.188313
P256_Kyber512,P256_Dilithium2,216.087548,0.014905,0.185043
P256_Kyber512,P256_Dilithium2,218.712284,0.011507,0.202180
P256_Kyber512,P256_Dilithium2,218.430040,0.013599,0.182411
P256_Kyber512,P256_Dilithium2,218.513965,0.013846,0.168831
P256_Kyber512,P256_Dilithium2,218.012523,0.013194,0.178665
P256_Kyber512,P256_Dilithium2,216.652515,0.009975,0.189919
P256_Kyber512,P256_Dilithium2,218.235600,0.030403,0.191171
P256_Kyber512,P256_Dilithium2,216.931004,0.010603,0.217583
P256_Kyber512,P256_Dilithium2,217.831642,0.014708,0.167187
P256_Kyber512,P256_Dilithium2,218.301021,0.013133,0.526707
P256_Kyber512,P256_Dilithium2,218.293122,0.013272,0.172822
P256_Kyber512,P256_Dilithium2,217.536729,0.033176,0.237581
P256_Kyber512,P256_Dilithium2,216.883819,0.010555,0.162297
P256_Kyber512,P256_Dilithium2,216.435241,0.018059,0.192796
P256_Kyber512,P256_Dilithium2,216.764968,0.010387,0.176130
P256_Kyber512,P256_Dilithium2,216.650061,0.017611,0.199869
P256_Kyber512,P256_Dilithium2,217.913788,0.011257,0.164441
P256_Kyber512,P256_Dilithium2,217.739877,0.014950,0.196992
P256_Kyber512,P256_Dilithium2,218.209631,0.010502,0.167803
P256_Kyber512,P256_Dilithium2,217.481267,0.011649,0.163591
